doctor_id,doctor_name,specialization,experience
251,Doctor_251,Physician,20
252,Doctor_252,Orthopedic,28
253,Doctor_253,Pediatrician,17
254,Doctor_254,Neurologist,30
255,Doctor_255,Dermatologist,20
256,Doctor_256,Neurologist,13
257,Doctor_257,Physician,25
258,Doctor_258,Physician,31
259,Doctor_259,Cardiologist,7
260,Doctor_260,Pediatrician,16
261,Doctor_261,Dermatologist,25
262,Doctor_262,Dermatologist,23
263,Doctor_263,Physician,19
264,Doctor_264,Pediatrician,19
265,Doctor_265,Neurologist,2
266,Doctor_266,Dermatologist,26
267,Doctor_267,Physician,18
268,Doctor_268,Cardiologist,1
269,Doctor_269,Orthopedic,4
270,Doctor_270,Dermatologist,32
271,Doctor_271,Pediatrician,19
272,Doctor_272,Orthopedic,15
273,Doctor_273,Neurologist,23
274,Doctor_274,Cardiologist,15
275,Doctor_275,Dermatologist,13
276,Doctor_276,Orthopedic,17
277,Doctor_277,Pediatrician,9
278,Doctor_278,Orthopedic,7
279,Doctor_279,Physician,3
280,Doctor_280,Orthopedic,20
281,Doctor_281,Neurologist,29
282,Doctor_282,Orthopedic,3
283,Doctor_283,Neurologist,24
284,Doctor_284,Neurologist,9
285,Doctor_285,Pediatrician,6
286,Doctor_286,Physician,19
287,Doctor_287,Cardiologist,21
288,Doctor_288,Neurologist,27
289,Doctor_289,Orthopedic,12
290,Doctor_290,Pediatrician,13
291,Doctor_291,Orthopedic,9
292,Doctor_292,Neurologist,35
293,Doctor_293,Pediatrician,24
294,Doctor_294,Orthopedic,34
295,Doctor_295,Dermatologist,33
296,Doctor_296,Physician,18
297,Doctor_297,Orthopedic,11
298,Doctor_298,Physician,17
299,Doctor_299,Neurologist,31
300,Doctor_300,Neurologist,19
